id;fullname;email;phone;title;seen;content
1;Lead Administrator;Breanne_Kessler69@hotmail.com;578-541-8796 x523;Response payment;true;../fake-data/blob/hipster.txt
2;Bypass generate;Stefan.Zulauf59@gmail.com;(342) 994-8754 x83010;Center Wooden;true;../fake-data/blob/hipster.txt
3;context-sensitive;Emilia90@gmail.com;021.820.4138;program;true;../fake-data/blob/hipster.txt
4;Walk;Nola70@gmail.com;067-955-9245 x6630;Garden Lead;true;../fake-data/blob/hipster.txt
5;Land silver Architect;Justine_Shields7@gmail.com;324-611-9267 x516;transmit;true;../fake-data/blob/hipster.txt
6;directional Assistant Bike;Retha.Bahringer@gmail.com;732-934-5453 x866;bypass;true;../fake-data/blob/hipster.txt
7;Organized Dong;Alexandria_Zieme@gmail.com;023-122-4606;Gorgeous Metal Shirt redundant Analyst;false;../fake-data/blob/hipster.txt
8;hack;Bertram_Stroman35@hotmail.com;(511) 503-0158 x67106;Louisiana Jamaican Dollar Sausages;false;../fake-data/blob/hipster.txt
9;uniform;Shanon.Rippin69@yahoo.com;958-889-4564 x5372;SMTP;false;../fake-data/blob/hipster.txt
10;input wireless;Lisandro29@gmail.com;1-926-989-5734;engage Jersey;false;../fake-data/blob/hipster.txt
